CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),cost_1,cost_2,cost_3,cost_4,Assigned_cluster
106,Female,21,62,42,86,60,55,64,Cluster_3
107,Female,66,63,50,122,114,87,94,Cluster_3
108,Male,54,63,46,106,98,71,78,Cluster_3
109,Male,68,63,43,117,109,82,89,Cluster_3
110,Male,66,63,48,120,112,85,92,Cluster_3
111,Male,65,63,52,123,115,88,95,Cluster_3
112,Female,19,63,54,99,71,70,77,Cluster_3
113,Female,38,64,42,85,79,52,57,Cluster_3
114,Male,19,64,46,90,64,63,68,Cluster_3
115,Female,18,65,48,92,68,67,70,Cluster_3
116,Female,19,65,50,93,69,68,71,Cluster_3
117,Female,63,65,43,110,106,79,82,Cluster_3
118,Female,49,65,59,112,108,81,84,Cluster_3
119,Female,51,67,43,96,96,69,68,Cluster_4
121,Male,27,67,56,89,85,68,67,Cluster_4
122,Female,38,67,40,80,80,53,52,Cluster_4
123,Female,40,69,58,98,102,75,70,Cluster_4
124,Male,39,69,91,130,134,107,102,Cluster_4
125,Female,23,70,29,63,57,48,41,Cluster_4
126,Female,31,70,77,107,113,88,81,Cluster_4
127,Male,43,71,35,76,84,57,48,Cluster_4
128,Male,40,71,95,133,141,114,105,Cluster_4
129,Male,59,71,11,68,76,49,40,Cluster_4
130,Male,38,71,75,111,119,92,83,Cluster_4
131,Male,47,71,9,54,62,35,26,Cluster_4
132,Male,39,71,75,112,120,93,84,Cluster_4
133,Female,25,72,34,64,66,53,42,Cluster_4
134,Female,31,72,71,99,109,84,73,Cluster_4
135,Male,20,73,5,39,33,30,17,Cluster_4
136,Female,29,73,88,113,125,104,91,Cluster_4
137,Female,44,73,7,47,59,32,19,Cluster_4
138,Male,32,73,73,101,113,86,73,Cluster_4
139,Male,19,74,10,44,38,37,24,Cluster_4
140,Female,35,74,72,102,116,89,76,Cluster_4
141,Female,57,75,5,56,72,45,32,Cluster_4
142,Male,32,75,93,119,135,108,95,Cluster_4
143,Female,28,76,40,63,79,60,47,Cluster_4
144,Female,32,76,87,112,130,103,90,Cluster_4
145,Male,25,77,12,37,49,36,23,Cluster_4
146,Male,28,77,97,119,137,118,105,Cluster_4
147,Male,48,77,36,76,96,69,56,Cluster_4
148,Female,32,77,74,98,118,91,78,Cluster_4
149,Female,34,78,22,47,69,42,29,Cluster_4
150,Male,34,78,90,115,137,110,97,Cluster_4
151,Male,43,78,17,51,73,46,33,Cluster_4
152,Male,39,78,88,118,140,113,100,Cluster_4
153,Female,44,78,20,55,77,50,37,Cluster_4
154,Female,38,78,76,105,127,100,87,Cluster_4
155,Female,47,78,16,54,76,49,36,Cluster_4
157,Male,37,78,1,29,51,24,11,Cluster_4
158,Female,30,78,78,99,121,98,85,Cluster_4
159,Male,34,78,1,26,48,21,8,Cluster_4
160,Female,30,78,73,94,116,93,80,Cluster_4
161,Female,56,79,35,81,105,78,65,Cluster_4
162,Female,29,79,83,102,126,105,92,Cluster_4
163,Male,19,81,5,32,40,39,26,Cluster_4
164,Female,31,81,93,112,140,115,102,Cluster_4
165,Male,50,85,26,60,96,69,56,Cluster_4
166,Female,36,85,75,95,131,104,91,Cluster_4
167,Male,42,86,20,45,83,56,43,Cluster_4
168,Female,33,86,95,111,149,122,109,Cluster_4
169,Female,36,87,27,45,85,58,45,Cluster_4
170,Male,32,87,63,77,117,90,77,Cluster_4
172,Male,28,87,75,87,125,106,93,Cluster_1
173,Male,36,87,10,28,68,41,28,Cluster_4
174,Male,36,87,92,110,150,123,110,Cluster_4
175,Female,52,88,13,46,88,61,48,Cluster_1
176,Female,30,88,86,97,139,116,103,Cluster_1
177,Male,58,88,15,54,96,69,56,Cluster_1
178,Male,27,88,69,81,119,102,89,Cluster_1
179,Male,59,93,14,49,101,74,61,Cluster_1
180,Male,35,93,90,101,153,126,113,Cluster_1
181,Female,37,97,32,41,101,74,61,Cluster_1
182,Female,32,97,86,90,150,123,110,Cluster_1
183,Male,46,98,15,32,94,67,54,Cluster_1
184,Female,29,98,88,88,150,129,116,Cluster_1
185,Female,41,99,39,52,114,87,74,Cluster_1
186,Male,30,99,97,99,161,138,125,Cluster_1
187,Female,54,101,24,52,114,87,74,Cluster_1
188,Male,28,101,68,72,132,113,100,Cluster_1
189,Female,41,103,17,34,96,69,56,Cluster_1
190,Female,36,103,85,97,159,132,119,Cluster_1
191,Female,34,103,23,33,95,68,55,Cluster_1
192,Female,32,103,69,77,139,112,99,Cluster_1
193,Male,33,113,8,27,89,62,49,Cluster_1
194,Female,38,113,91,115,177,150,137,Cluster_1
195,Female,47,120,16,56,118,91,78,Cluster_1
196,Female,35,120,79,107,169,142,129,Cluster_1
197,Female,45,126,28,72,134,107,94,Cluster_1
198,Male,32,126,74,105,167,140,127,Cluster_1
199,Male,32,137,18,60,122,95,82,Cluster_1
200,Male,30,137,83,123,185,162,149,Cluster_1
